mean_rojo;sd_rojo;mean_verde;sd_verde;mean_azul;sd_azul;aspect_ratio;extent;clase
97,19;113,72;150,76;5,23;4,86;7,77;1,83;0,74;nada
70,21;79,53;150,94;18,57;22,51;23,39;0,32;0,61;nada
108,95;127,73;199,28;29,32;35,87;30;0,32;0,63;nada
113,86;173,47;181,54;43,31;22,05;18,97;0,69;0,93;energia
89,07;114,57;110,46;38,91;42;41,79;0,61;0,94;garantia
58,41;85,24;106,5;10,45;8,01;7,32;1,88;0,82;nada
60,83;83,59;101,78;9,38;11,07;9,34;1;0,88;nada
58,36;86,52;84,51;8,34;10,35;10,33;1,05;0,91;nada
59,3;80,19;96,63;8,7;8,49;9,37;0,81;0,74;nada
39,64;64,63;78,35;12,48;11,92;12,31;0,53;0,84;nada
85,25;107,68;118,74;6,04;5,85;6,08;1,11;0,89;nada
60,8;84,2;100,87;18,5;19,34;18,28;0,68;0,52;nada
43,48;62,79;82,84;5,8;5,78;6,19;1;0,88;nada
101;123,06;133,23;13,78;13,39;13,35;0,91;0,9;nada
103,98;131,46;140,06;9,67;11,05;12,14;0,53;0,82;nada
117,19;140,16;148,09;12,12;11,92;11,93;1,13;0,76;nada
131,24;158,73;167,15;22,29;21,58;21,52;0,18;0,8;nada
63,02;86,27;107,46;22,4;23,77;22,98;1,02;0,71;nada
188,11;221,58;228,06;22,06;23,74;24,68;0,1;0,72;nada
134,77;159,45;183,37;39,77;45,52;35,08;0,83;0,56;nada
85,27;101,82;142,53;11,42;12,91;12,64;0,65;0,66;nada
73,77;93,84;114,01;13,78;13,65;13,34;0,89;0,88;nada
75,8;102,04;139,09;12,04;13,3;14,63;0,64;0,77;nada
96,65;119,09;161,44;12,11;19,45;14,73;0,37;0,74;nada
99,29;122,3;157,69;5,37;6,3;8;1,16;0,68;nada
70,3;82,45;122,74;6,41;6,49;6,33;1,18;0,64;nada
101,77;116,64;149,35;7,32;7,58;6,46;1,42;0,76;nada
104,61;119,13;151,09;6,05;6,19;6,1;1,09;0,77;nada
107,13;126,07;202,11;29,8;35,99;32,38;0,39;0,53;nada
72,27;83,83;152,7;23,56;28,1;24,46;0,4;0,47;nada
93,88;110,41;140,57;5,35;4,98;5,74;0,5;0,82;nada
91,22;108,21;137,31;5,55;5,4;5,37;0,26;0,79;nada
109,47;172,22;182;44,06;23,09;20,13;0,69;0,93;energia
90,18;114,77;121,44;7,12;7,93;8,11;0,9;0,88;nada
47,59;69,41;89,22;16,24;16,32;17,4;0,95;0,52;nada
107,25;131,8;141,52;9;9,63;9,88;0,64;0,89;nada
155,19;197,83;206,09;24,74;30,04;32,78;0,09;0,65;nada
107,46;135,5;161,62;37,69;45,69;36,36;1,1;0,62;nada
54,2;73,41;110,84;7;8,45;9,95;0,72;0,76;nada
40,98;66,4;100,98;9,47;11,69;14,52;0,59;0,78;nada
68,59;92,74;134,5;7,33;10,58;10,11;0,27;0,76;nada
62,17;76,54;113,38;7,55;8,1;8,54;0,76;0,5;nada
63,67;84,72;121,44;4,6;5,4;7,64;1,05;0,66;nada
59,65;75,99;115,96;4,74;4,61;8,67;1,77;0,73;nada
41,43;50,28;124,84;21,32;27,44;25,47;0,3;0,5;nada
73,96;94,03;178,46;30,58;39,2;38,85;0,32;0,63;nada
121,29;150,4;157,72;8,35;9,57;9,52;0,63;0,84;nada
48,17;104,12;92,21;29,83;16,27;18,02;1,22;0,57;garantia
121,83;155,58;150,3;12,8;14,68;14,18;1,04;0,84;nada
117,24;158,1;142,84;19,91;22,8;21,64;0,87;0,8;nada
43,2;76,8;69,61;8,27;10,17;10,11;1;0,87;nada
124,02;153,27;153,38;5,41;5,77;5,7;0,34;0,84;nada
79,67;143,66;153,54;45,96;25,45;22,43;0,69;0,93;energia
121,45;147,74;151,42;5,7;5,61;6,45;0,53;0,85;nada
94,05;133,64;135,86;28,8;26,74;31,16;0,09;0,7;nada
75,13;115,87;107,97;25,96;22,89;24,06;7,67;0,85;nada
91,18;114,51;142,29;6,44;8,68;8,9;1,93;0,81;nada
208,2;245,7;252,59;12,32;9,23;3,74;4,27;0,81;nada
177,53;205,33;229,77;35,56;37,74;34,82;2,67;0,4;nada
81,37;114,73;139,89;9,83;14,94;20,25;0,34;0,85;nada
59,44;77,99;105,58;5,38;5,43;5,55;1;0,88;nada
120,23;165,62;200,03;33,33;32,93;33,37;1,68;0,81;nada
73,98;97,19;132,06;35,73;38,01;36,33;0,61;0,55;nada
149,38;188,33;214,84;40,08;44,59;35,12;0,65;0,56;nada
121,81;170,48;197,53;56,71;62,5;56,46;2,54;0,34;nada
90,43;117,58;149,98;13,48;15,17;15,5;0,58;0,68;nada
103,18;123,86;156,87;10,98;10,83;10,94;0,44;0,44;nada
111,8;193,53;210,64;62,16;30,62;26,49;0,74;0,95;energia
98,94;124,16;125,28;53,64;57,72;56,88;0,65;0,98;garantia
209,99;232,04;243,29;5,03;5,18;4,47;0,9;0,9;nada
204,28;227,63;238,84;9,56;9,26;8,71;0,72;0,85;nada
203,72;227,01;239,05;10,45;10,05;9,94;0,55;0,88;nada
200,67;224,25;234,93;14,85;14,56;14,07;0,59;0,81;nada
186,05;213,15;226,23;20,65;24,03;22,06;0,52;0,61;nada
111,5;135,36;164,52;16,08;16,55;18,13;0,83;0,56;nada
120,01;163,93;192,74;50,19;60,45;53,8;0,84;0,81;nada
89,38;121,82;129,57;5,29;5,59;5,47;1,54;0,77;nada
121,71;223,57;237,75;77,19;36,48;29,08;0,72;0,95;energia
149,64;172,2;171,9;67,98;68,2;67,01;0,65;0,96;garantia
43,4;90,17;98,16;39,69;25,06;22,15;0,71;0,93;energia
35,71;49,22;47,14;33,68;36,13;33,37;0,64;0,97;garantia
60,61;82,01;103,01;8,65;8,38;11,85;1,67;0,83;nada
55,63;84,31;92,95;9,97;8,75;11,07;0,62;0,84;nada
50,16;72,72;89,18;10,35;10,37;10,21;0,43;0,55;nada
72,02;92,63;111,6;14,32;14,35;13,92;0,58;0,54;nada
69,59;93,11;112,11;19,43;19,31;19,8;0,93;0,62;nada
184,99;217,89;224,09;18,64;20,32;21,74;0,09;0,64;nada
137,95;162,03;188,91;40,47;45,7;31,71;0,89;0,61;nada
88,2;107,49;142,02;10,23;11,54;12,82;0,68;0,75;nada
75,29;103,25;136,4;11,66;12,72;14,19;0,59;0,77;nada
105,24;128,46;165,5;8,28;12,07;10,43;0,25;0,83;nada
92,71;106,37;143,18;10,04;10,82;8,94;0,96;0,63;nada
101,33;122,37;155,44;5,3;6,02;7,41;1,06;0,66;nada
97,19;113,72;150,76;5,23;4,86;7,77;1,83;0,74;nada
70,21;79,53;150,94;18,57;22,51;23,39;0,32;0,61;nada
108,95;127,73;199,28;29,32;35,87;30;0,32;0,63;nada
113,86;173,47;181,54;43,31;22,05;18,97;0,69;0,93;energia
89,07;114,57;110,46;38,91;42;41,79;0,61;0,94;garantia
9,82;29,18;58,05;3,16;3,11;4,58;1;0,79;nada
18,58;42,84;80,51;5,71;5,84;8,92;0,9;0,92;nada
117,28;220,58;231,11;87,2;42,07;35,42;0,73;0,97;energia
54,04;89,27;84,39;53,63;78,14;75,16;0,67;0,93;garantia
111,62;219,36;228,92;92,86;46,89;40,42;0,76;0,9;energia
48,1;86,46;88,19;50,71;80,69;79,4;0,76;0,84;garantia
84,98;171,99;186,01;79,87;38,66;34,35;0,75;0,97;energia
32;60,46;60,63;36,77;57,58;56,88;0,71;0,88;garantia
11,61;37,58;65,88;4,28;6,78;10,08;0,21;0,68;nada
26;61,07;99,07;14,35;19,66;27,56;0,85;0,18;nada
72,64;200,91;178,98;71,7;25,55;28,12;2,13;0,95;garantia
84,24;217,88;223,33;93,73;37,32;32,35;0,72;0,98;energia
41,01;130,06;106,9;39,6;53,94;50,48;0,33;0,85;nada
53,5;75,51;94,53;8,32;8,16;8,99;0,26;0,73;nada
61,34;82,48;103,51;7,51;7,6;8,19;0,32;0,72;nada
42,83;64,73;84,09;8,37;10,03;11,74;0,82;0,63;nada
51,66;75,09;89,94;7,64;7,04;7,6;0,65;0,81;nada
62,04;82,93;101,48;17,09;17,57;16,61;0,7;0,57;nada
76,83;99,39;118,53;18,17;18,25;17,84;0,94;0,59;nada
188,63;220,37;229,39;18,07;19,65;21,08;0,1;0,66;nada
138,64;162,04;186,13;38,65;44,18;32,92;0,88;0,6;nada
87,52;104;138,42;12,05;12,09;14,55;0,72;0,81;nada
78,32;102,59;138,49;11,3;12,45;13,97;0,6;0,75;nada
96,24;109,71;147,6;11,55;12,02;10,94;1,03;0,79;nada
107,13;127,23;167,02;9,52;13,16;11,26;0,28;0,77;nada
105,17;123,66;155,82;5,5;5,63;6,63;1,16;0,68;nada
97,27;113,35;155,5;5,19;5,48;5,98;1,54;0,77;nada
72,24;81,57;153,41;20,95;25,13;23,58;0,31;0,62;nada
111,74;128,67;202,59;30,66;36,17;29,45;0,31;0,66;nada
85,66;138,98;127,93;29,19;14,67;15,79;2,05;0,92;garantia
155,74;189,48;174,47;19,7;19,45;19,4;1,61;0,7;nada
155,24;184,36;180,33;14,1;14,39;14,72;1,39;0,88;nada
119,43;173,07;182,57;39,94;21,02;17,92;0,69;0,93;energia
132,74;167,83;167,85;26,14;25,75;27,68;0,2;0,84;nada
51,3;69,9;118,17;7,37;9,2;12,85;2,91;0,65;nada
22,64;55,9;100,13;15,12;21,62;31,61;0,65;0,4;nada
96,26;122,66;176,73;26,36;32,52;13,72;0,77;0,86;nada
48,67;64,5;100,76;3,02;2,39;3,65;1,51;0,53;nada
93,78;120,4;171,81;28,01;33,67;36,13;0,54;0,47;nada
73,55;192,47;182,11;65,28;36,52;35,97;1,61;0,72;garantia
93,43;205,82;218,87;79,66;31,74;27,99;0,72;0,97;energia
51,82;120,43;111,96;24,52;33,17;31,71;0,21;0,8;nada
73,54;98,18;148,19;30,48;39,28;44,4;0,8;0,64;nada
52,51;75,25;94,57;11,7;11,92;12,64;4,6;0,76;nada
116,23;134,57;157,79;8,24;8,05;8,11;4;0,78;nada
53,44;78;104,41;16,22;17,94;18,44;3,98;0,52;nada
79,96;98,12;120,8;12,79;12,91;12,68;1,8;0,67;nada
88,52;107,68;130,27;11,68;12,05;11,96;1,31;0,42;nada
95,34;129,07;159,63;42,41;44,6;45,97;0,96;0,73;nada
39,18;61,19;91,73;24,79;27,17;27,62;0,37;0,73;nada
138,74;172,99;159,58;12,13;12,67;13,6;0,48;0,8;nada
95,31;128,34;155,69;39,03;40,59;41,84;0,89;0,7;nada
163,29;209,57;181,41;27,64;31,72;31,47;1,05;0,83;nada
150,36;200,99;171,88;30,41;33,23;32,74;1;0,88;nada
169,03;212,31;180,4;22,91;24,75;24,29;0,77;0,88;nada
148,37;185,32;159,55;23,64;23,92;25,03;1;0,82;nada
97,85;125,34;165,99;27,58;31,9;33,96;1,38;0,26;nada
139,96;180,81;147,79;17,31;19,61;18,34;1,44;0,65;nada
191,3;235,77;205,15;22,4;23,48;24,43;1,04;0,83;nada
187,75;233,32;199,34;22,61;22,04;24,98;1,12;0,88;nada
42,84;67,26;108,13;9,11;15,35;20,74;0,24;0,93;nada
198,4;247,44;196,61;12,73;10,54;15,52;2,29;0,63;nada
215,01;241,67;253,15;7,14;8,64;2,15;0,35;0,79;nada
117,48;134,91;163,98;8,88;7,78;7,84;1,05;0,87;nada
114,33;131,75;161,69;7,51;6,89;5,78;0,59;0,81;nada
165,37;215,39;172,3;28,68;29,84;32,51;2,12;0,52;nada
69,18;89,8;116,86;18,57;18,25;18,54;1,7;0,54;nada
120,58;138,11;166;5,25;4,79;4,66;0,41;0,81;nada
137,5;187,44;135,21;16,97;18,94;18,6;1,33;0,81;nada
167,29;213,04;160,9;16,63;17,07;16,19;1,8;0,61;nada
46,43;59,2;97,65;2,08;2,27;2,21;1;0,88;nada
181,84;206,94;219,56;35,87;38,92;32,97;0,96;0,9;nada
173,59;199,91;221,83;37,11;38,89;31,35;0,51;0,72;nada
93,95;121,54;139,38;28,82;29,74;29,8;0,33;0,84;nada
42,05;56,57;99,12;5,93;7,14;7,21;0,56;0,69;nada
165,9;192,18;217,6;31,08;32,03;27,49;0,41;0,74;nada
43,04;55,79;106,78;7,99;8,73;10,91;0,97;0,76;nada
57,8;75,61;130,33;21,39;25,19;26,94;0,97;0,52;nada
40,47;51;106,78;4,17;3,53;5,04;0,54;0,82;nada
186,55;228,06;195,83;20,79;21,62;21,8;1,68;0,72;nada
188,21;234,07;195,59;16,06;16,47;17,21;1,06;0,89;nada
179,57;222,5;181,07;16,25;16,88;16,6;0,89;0,86;nada
192,33;238,33;207,77;23,63;18,55;26,17;1,82;0,56;nada
202,65;247,12;218,85;14,05;11,62;14,82;1,18;0,89;nada
184,96;223,12;195,56;27,3;27,74;28,04;1,09;0,7;nada
196,42;238,4;207,53;18,67;15,82;19,79;1,31;0,5;nada
200,64;239,69;212,72;20,91;19,43;21,79;1,78;0,89;nada
138,7;188,52;130,76;14,95;17,99;18,78;0,95;0,87;nada
188,4;234,96;191,9;18,61;20,3;22,21;1,06;0,88;nada
151,14;205,71;145,27;18,39;20,36;19,89;1,23;0,77;nada
180,89;223,31;178,36;21,04;21,01;21,26;1,33;0,89;nada
179,85;222,51;178,24;18,74;18,44;19,76;1;0,88;nada
180,72;223,34;182,09;18,1;17,49;18,23;1,33;0,89;nada
172,5;216,01;170,28;14,68;15,27;15,16;1,06;0,82;nada
178,77;224,4;184,56;27,74;28,09;30,55;1,47;0,49;nada
196,01;240,89;192,18;19,55;18,25;19,92;1,73;0,78;nada
182,82;227,65;184,64;19,13;20,15;20,36;1;0,87;nada
193,07;235,52;192,58;17,59;17,41;17,71;0,95;0,86;nada
199,95;241,03;203,94;20,95;19,71;22,76;0,86;0,86;nada
187,56;232,81;191,99;25,18;24,81;29,32;2,3;0,66;nada
194,28;241,83;215,64;21,77;19,51;22,61;1,31;0,84;nada
185,42;229,61;188,76;25,67;25,2;29,99;1,18;0,63;nada
168,87;219,91;173,77;23,35;24,72;25,03;1,3;0,84;nada
178,88;221,97;187,92;32,12;36,13;29,43;1,25;0,5;nada
194,22;239,76;204,82;21,57;18,63;24,02;0,7;0,7;nada
203,52;246,95;218,07;13,76;12,17;13,27;0,5;0,82;nada
53,1;126,4;154,42;52,97;27,84;24,43;0,61;0,97;energia
176,99;223,62;183,33;25,27;25,77;28,79;0,81;0,57;nada
192,29;237,52;198,75;22,4;21,37;25,67;1,35;0,54;nada
184,11;226,95;191,15;26,5;26,33;28,83;0,8;0,84;nada
194,44;236,4;199,31;18,48;19,11;19,01;0,73;0,89;nada
94,53;94,98;244,85;20,28;16,73;8,26;0,34;0,88;nada
51,29;86,67;87;39,7;52,9;50,7;0,69;0,9;garantia
191,87;235,66;193,37;21,01;20,6;22,24;1,11;0,89;nada
101,03;121,37;139,84;8,82;8,95;9,48;1,67;0,76;nada
82,74;103,58;124,03;5,38;6,27;6,46;0,76;0,72;nada
152,88;179,23;199,41;30,53;30,47;29,14;0,59;0,37;nada
124,63;150,14;170,99;28,18;28,15;25,46;1,1;0,78;nada
115,34;143,36;167,22;31,35;30,26;27,9;2,09;0,51;nada
120,58;144,6;165,93;24,39;26,12;23,95;6,67;0,8;nada
106,99;135,48;159,34;22,91;26,06;23,63;2;0,72;nada
124,43;150,44;171,19;21,36;22,73;20,85;1,25;0,82;nada
165,24;190,48;211,69;30,99;31,15;28,75;0,09;0,2;nada
73,4;116,08;167,43;16,89;19,21;17,42;1,96;0,83;nada
73,56;91,57;128,7;8,61;8,81;5,61;0,43;0,88;nada
47,34;68,27;102,57;26,41;27,62;26,58;0,36;0,82;nada
81,07;103,67;132,19;22,02;22,3;21,26;0,9;0,32;nada
73,46;109,92;167,53;21,84;24,64;26,35;1,14;0,44;nada
114,85;136,59;175,72;32,87;35,2;36;1,28;0,22;nada
54,06;77,58;117,37;12,71;16,96;18,49;0,25;0,87;nada
189,87;242,25;176;9,47;8,95;9,56;1;0,87;nada
73,75;91,84;116,94;10,02;9,56;10,13;2;0,59;nada
175,79;223,92;172,73;24,69;25,06;25,69;0,72;0,63;nada
177,54;200,74;221,71;25,89;27,18;24,83;0,39;0,89;nada
76,23;94,61;139,11;25,32;27,86;26,97;0,6;0,69;nada
87,14;117,31;164,65;28,64;34,48;37,28;0,16;0,71;nada
197,89;224,08;230,97;21,95;23;21,67;1;0,88;nada
200,99;227,22;233,98;20,88;22,62;21,24;0,83;0,88;nada
70,61;146,33;168,73;60,08;33,97;30,22;0,62;0,97;energia
196,79;221,32;230,4;18,92;19,56;19,08;0,83;0,9;nada
109,26;108,41;248,78;13,24;10,13;6,73;0,34;0,87;nada
200,82;226,9;235,67;16,7;18,07;16,04;0,26;0,87;nada
65;94,51;97,6;50,61;60,4;58,62;0,69;0,9;garantia
104,79;120,96;165,64;23,36;23,97;23,5;0,49;0,7;nada
100,96;118,57;150,05;6,13;7,25;6,13;0,67;0,84;nada
113,11;125,56;170,37;9,53;9,37;9,69;0,84;0,69;nada
196,98;222,45;233,84;13,02;14,14;12,26;0,23;0,81;nada
97,48;112,4;164,64;37,15;40,49;37,31;0,79;0,57;nada
172,41;199;204,93;6,2;5,31;5,56;0,85;0,76;nada
124,13;149,54;164,37;28,36;28,01;26,08;0,97;0,5;nada
109,28;134,11;147,59;28,09;27,91;26,84;1,37;0,75;nada
91,16;114,83;127,51;28,72;29,46;28,25;1;0,88;nada
104,09;127,89;144,1;22,33;22,78;20,95;0,67;0,78;nada
60,02;85,72;102,63;8,86;8,56;8,28;2;0,86;nada
70,58;90,68;107,58;7,78;7,77;7,88;0,63;0,92;nada
66,75;86,9;105,12;8;8,06;8,11;2,29;0,65;nada
59,97;81,58;97,38;11,7;12,08;12,13;2,44;0,48;nada
58,16;80,51;97,05;10,71;10,77;11,02;1,54;0,44;nada
85,81;109,36;125,95;26,89;27,28;26,3;0,83;0,73;nada
116,84;140,73;169,75;19,55;20,05;20,39;1,42;0,27;nada
204,94;248,23;197,03;6,17;5,22;6,97;1,57;0,8;nada
172,97;220,43;169,79;22,92;21,49;23,66;1,38;0,66;nada
188,69;212,12;227,39;17,67;17,77;16,29;0,51;0,69;nada
54,47;69,48;108,68;23,27;25,09;24,71;1,33;0,46;nada
133,35;153,05;177,58;44,88;46,29;45,2;0,51;0,72;nada
60,07;74,62;114,86;23,85;24;28,54;0,49;0,79;nada
64,57;80,81;117,05;18,32;18,1;19,16;1,06;0,43;nada
189,34;230,08;193,26;12,44;11,93;13,31;2,62;0,82;nada
201,25;242,86;206,34;7,51;9,06;9,72;1,21;0,83;nada
205,3;244,54;205,9;2,46;2,36;2,76;0,7;0,89;nada
183,62;226,8;177,73;17,64;17,29;17,81;0,91;0,63;nada
64,04;132,61;152,51;52,27;26,15;23,58;0,62;0,97;energia
203,67;245,48;198,31;7,95;7,41;8,94;1,11;0,87;nada
198,63;242,73;191,29;9,33;9,28;10,22;1;0,88;nada
191,94;235,97;184,34;7,97;7,15;8,43;0,9;0,89;nada
115,64;135,78;176,1;13,38;12,85;11,94;0,24;0,85;nada
116,79;127,15;173,15;18,61;20,4;15,18;2,4;0,8;nada
201,03;225,79;235,71;8,96;9,31;9,16;0,5;0,91;nada
105,8;104,13;247,02;15,92;12,88;7,45;0,33;0,91;nada
54,52;83,79;82,93;42,57;50,76;48,37;0,68;0,9;garantia
107,03;123,29;170,41;27,79;29,38;29,14;0,51;0,61;nada
64,04;78,27;121,03;10,17;11,54;9,59;0,28;0,76;nada
116,78;141,9;154,92;27,51;27,49;25,77;0,85;0,56;nada
101,54;126,62;138;23,07;22,98;22,57;1,07;0,67;nada
97,77;123,34;135,22;20,39;19,8;18,36;0,84;0,59;nada
117,66;136,13;173,84;20,45;20,06;16,46;1,75;0,55;nada
59,11;85,93;110,41;7,59;7,89;7,89;1,13;0,8;nada
95,3;134,4;155,65;30,92;36,58;36,72;1,29;0,8;nada
46,7;84,99;131,54;31,14;34,11;31,05;1,69;0,77;nada
73,14;146,05;108,88;20,71;33,14;30,7;1;0,75;nada
79,5;148,87;112,81;19,15;29,39;27,51;1;0,73;nada
21,58;35,17;72,7;3,07;3,44;3,32;0,38;0,73;nada
81,22;176,22;188,23;83,15;36,8;31,69;0,71;0,94;energia
47,93;96,26;120,94;21,06;29,84;25,53;0,62;0,68;nada
21,46;47,64;98,8;10,86;13,49;15,88;0,16;0,4;nada
120,69;135,69;167,67;10,16;10,15;10,18;2,03;0,58;nada
59,78;142,48;104,38;30,57;31,24;33,32;0,13;0,75;nada
59,15;86,35;128,06;27,7;29,71;29,37;0,67;0,25;nada
58,4;93,99;118,84;14,49;16,47;17,98;1,41;0,86;nada
49,99;91,22;147,42;17,11;17,35;18,72;0,15;0,65;nada
63,32;157,02;171,46;76,79;47,07;42,74;0,73;0,92;energia
